subjID,SessionDate,accept,offer,Wait2.RT,targettext,gender,age,trail,context,cohort
A6,01-06-2020,0,1.0,7433.0,2.0,M,25.81643836,4,gain,adult
A6,01-06-2020,1,4.0,911.0,5.0,M,25.81643836,5,gain,adult
A6,01-06-2020,1,3.0,621.0,4.0,M,25.81643836,6,gain,adult
A6,01-06-2020,1,1.0,1173.0,3.0,M,25.81643836,7,gain,adult
A6,01-06-2020,1,2.0,752.0,4.0,M,25.81643836,8,gain,adult
A6,01-06-2020,1,5.0,1404.0,3.0,M,25.81643836,9,gain,adult
A6,01-06-2020,1,4.0,1102.0,5.0,M,25.81643836,10,gain,adult
A6,01-06-2020,1,1.0,1087.0,3.0,M,25.81643836,11,gain,adult
A6,01-06-2020,1,4.0,663.0,5.0,M,25.81643836,12,gain,adult
A6,01-06-2020,1,5.0,1012.0,5.0,M,25.81643836,13,gain,adult
A6,01-06-2020,1,3.0,909.0,4.0,M,25.81643836,14,gain,adult
A6,01-06-2020,1,2.0,1276.0,3.0,M,25.81643836,15,gain,adult
A6,01-06-2020,1,3.0,864.0,4.0,M,25.81643836,16,gain,adult
A6,01-06-2020,1,1.0,1910.0,3.0,M,25.81643836,17,gain,adult
A6,01-06-2020,1,5.0,828.0,5.0,M,25.81643836,18,gain,adult
A6,01-06-2020,1,2.0,1770.0,3.0,M,25.81643836,19,gain,adult
A6,01-06-2020,1,4.0,718.0,4.0,M,25.81643836,20,gain,adult
A6,01-06-2020,1,4.0,1231.0,4.0,M,25.81643836,21,gain,adult
A6,01-06-2020,1,5.0,817.0,5.0,M,25.81643836,22,gain,adult
A6,01-06-2020,1,1.0,2108.0,2.0,M,25.81643836,23,gain,adult
A6,01-06-2020,1,3.0,3716.0,4.0,M,25.81643836,24,gain,adult
A6,01-06-2020,1,2.0,1417.0,4.0,M,25.81643836,25,gain,adult
A6,01-06-2020,1,1.0,950.0,1.0,M,25.81643836,26,gain,adult
A6,01-06-2020,1,4.0,762.0,4.0,M,25.81643836,27,gain,adult
A6,01-06-2020,1,3.0,632.0,3.0,M,25.81643836,28,gain,adult
A6,01-06-2020,1,5.0,686.0,5.0,M,25.81643836,29,gain,adult
A6,01-06-2020,1,2.0,1142.0,2.0,M,25.81643836,30,gain,adult
A6,01-06-2020,1,1.0,736.0,1.0,M,25.81643836,31,gain,adult
A6,01-06-2020,1,4.0,1829.0,4.0,M,25.81643836,32,gain,adult
A6,01-06-2020,1,2.0,543.0,2.0,M,25.81643836,33,gain,adult
A6,01-06-2020,1,3.0,367.0,3.0,M,25.81643836,34,gain,adult
A6,01-06-2020,1,5.0,512.0,5.0,M,25.81643836,35,gain,adult
A6,01-06-2020,1,3.0,350.0,3.0,M,25.81643836,36,gain,adult
A6,01-06-2020,1,2.0,463.0,2.0,M,25.81643836,37,gain,adult
A6,01-06-2020,1,5.0,354.0,5.0,M,25.81643836,38,gain,adult
A6,01-06-2020,1,1.0,702.0,1.0,M,25.81643836,39,gain,adult
A6,01-06-2020,1,4.0,325.0,4.0,M,25.81643836,40,gain,adult
A7,01-07-2020,0,1.0,3971.0,2.0,F,24.03013699,1,gain,adult
A7,01-07-2020,1,3.0,2239.0,3.0,F,24.03013699,2,gain,adult
A7,01-07-2020,1,5.0,1087.0,3.0,F,24.03013699,3,gain,adult
A7,01-07-2020,1,4.0,1043.0,3.0,F,24.03013699,4,gain,adult
A7,01-07-2020,0,2.0,766.0,3.0,F,24.03013699,5,gain,adult
A7,01-07-2020,1,5.0,729.0,3.0,F,24.03013699,6,gain,adult
A7,01-07-2020,1,3.0,4550.0,3.0,F,24.03013699,7,gain,adult
A7,01-07-2020,1,4.0,475.0,2.0,F,24.03013699,8,gain,adult
A7,01-07-2020,0,2.0,872.0,3.0,F,24.03013699,9,gain,adult
A7,01-07-2020,0,1.0,919.0,3.0,F,24.03013699,10,gain,adult
A7,01-07-2020,1,2.0,4975.0,3.0,F,24.03013699,11,gain,adult
A7,01-07-2020,1,3.0,489.0,2.0,F,24.03013699,12,gain,adult
A7,01-07-2020,0,1.0,616.0,3.0,F,24.03013699,13,gain,adult
A7,01-07-2020,1,5.0,1092.0,3.0,F,24.03013699,14,gain,adult
A7,01-07-2020,1,4.0,1717.0,2.0,F,24.03013699,15,gain,adult
A7,01-07-2020,1,5.0,533.0,3.0,F,24.03013699,16,gain,adult
A7,01-07-2020,1,3.0,1246.0,3.0,F,24.03013699,17,gain,adult
A7,01-07-2020,1,4.0,371.0,3.0,F,24.03013699,18,gain,adult
A7,01-07-2020,0,1.0,632.0,2.0,F,24.03013699,19,gain,adult
A7,01-07-2020,1,2.0,1517.0,3.0,F,24.03013699,20,gain,adult
A7,01-07-2020,1,4.0,448.0,3.0,F,24.03013699,21,gain,adult
A7,01-07-2020,1,5.0,316.0,3.0,F,24.03013699,22,gain,adult
A7,01-07-2020,1,3.0,753.0,2.0,F,24.03013699,23,gain,adult
A7,01-07-2020,0,1.0,693.0,3.0,F,24.03013699,24,gain,adult
A7,01-07-2020,1,2.0,1842.0,3.0,F,24.03013699,25,gain,adult
A7,01-07-2020,1,2.0,1059.0,3.0,F,24.03013699,26,gain,adult
A7,01-07-2020,1,4.0,528.0,3.0,F,24.03013699,27,gain,adult
A7,01-07-2020,1,5.0,518.0,3.0,F,24.03013699,28,gain,adult
A7,01-07-2020,0,1.0,534.0,2.0,F,24.03013699,29,gain,adult
A7,01-07-2020,1,3.0,828.0,3.0,F,24.03013699,30,gain,adult
A7,01-07-2020,1,4.0,1931.0,3.0,F,24.03013699,31,gain,adult
A7,01-07-2020,0,1.0,514.0,3.0,F,24.03013699,32,gain,adult
A7,01-07-2020,1,3.0,494.0,3.0,F,24.03013699,33,gain,adult
A7,01-07-2020,0,2.0,1644.0,3.0,F,24.03013699,34,gain,adult
A7,01-07-2020,1,5.0,347.0,3.0,F,24.03013699,35,gain,adult
A7,01-07-2020,1,4.0,419.0,3.0,F,24.03013699,36,gain,adult
A7,01-07-2020,0,1.0,582.0,2.0,F,24.03013699,37,gain,adult
A7,01-07-2020,1,3.0,1345.0,3.0,F,24.03013699,38,gain,adult
A7,01-07-2020,1,5.0,331.0,3.0,F,24.03013699,39,gain,adult
A7,01-07-2020,1,2.0,889.0,2.0,F,24.03013699,40,gain,adult
A8,01-07-2020,0,4.0,8947.0,3.0,M,24.66575342,1,gain,adult
A8,01-07-2020,0,3.0,4705.0,2.0,M,24.66575342,2,gain,adult
A8,01-07-2020,1,5.0,1093.0,4.0,M,24.66575342,3,gain,adult
A8,01-07-2020,0,1.0,2179.0,1.0,M,24.66575342,4,gain,adult
A8,01-07-2020,0,2.0,3963.0,2.0,M,24.66575342,5,gain,adult
A8,01-07-2020,1,4.0,1386.0,3.0,M,24.66575342,6,gain,adult
A8,01-07-2020,0,3.0,3072.0,3.0,M,24.66575342,7,gain,adult
A8,01-07-2020,0,2.0,1079.0,2.0,M,24.66575342,8,gain,adult
A8,01-07-2020,0,1.0,3102.0,2.0,M,24.66575342,9,gain,adult
A8,01-07-2020,1,5.0,1118.0,4.0,M,24.66575342,10,gain,adult
A8,01-07-2020,0,1.0,2111.0,2.0,M,24.66575342,11,gain,adult
A8,01-07-2020,1,5.0,1632.0,4.0,M,24.66575342,12,gain,adult
A8,01-07-2020,1,3.0,1885.0,2.0,M,24.66575342,13,gain,adult
A8,01-07-2020,1,4.0,1278.0,2.0,M,24.66575342,14,gain,adult
A8,01-07-2020,0,2.0,1074.0,4.0,M,24.66575342,15,gain,adult
A8,01-07-2020,1,5.0,1047.0,4.0,M,24.66575342,16,gain,adult
A8,01-07-2020,1,4.0,686.0,2.0,M,24.66575342,17,gain,adult
A8,01-07-2020,1,2.0,981.0,1.0,M,24.66575342,18,gain,adult
A8,01-07-2020,0,1.0,1680.0,2.0,M,24.66575342,19,gain,adult
A8,01-07-2020,1,3.0,1839.0,4.0,M,24.66575342,20,gain,adult
A8,01-07-2020,1,4.0,1504.0,3.0,M,24.66575342,21,gain,adult
A8,01-07-2020,0,2.0,2480.0,4.0,M,24.66575342,22,gain,adult
A8,01-07-2020,0,1.0,943.0,5.0,M,24.66575342,23,gain,adult
A8,01-07-2020,1,5.0,2403.0,5.0,M,24.66575342,24,gain,adult
A8,01-07-2020,1,3.0,3407.0,2.0,M,24.66575342,25,gain,adult
A8,01-07-2020,0,2.0,4502.0,4.0,M,24.66575342,26,gain,adult
A8,01-07-2020,0,3.0,3766.0,3.0,M,24.66575342,27,gain,adult
A8,01-07-2020,1,4.0,1074.0,3.0,M,24.66575342,28,gain,adult
A8,01-07-2020,0,1.0,978.0,5.0,M,24.66575342,29,gain,adult
A8,01-07-2020,1,5.0,853.0,5.0,M,24.66575342,30,gain,adult
A8,01-07-2020,1,4.0,2255.0,3.0,M,24.66575342,31,gain,adult
A8,01-07-2020,0,1.0,1118.0,4.0,M,24.66575342,32,gain,adult
A8,01-07-2020,0,3.0,1816.0,3.0,M,24.66575342,33,gain,adult
A8,01-07-2020,0,2.0,1253.0,4.0,M,24.66575342,34,gain,adult
A8,01-07-2020,1,5.0,814.0,5.0,M,24.66575342,35,gain,adult
A8,01-07-2020,1,5.0,704.0,5.0,M,24.66575342,36,gain,adult
A8,01-07-2020,0,1.0,988.0,4.0,M,24.66575342,37,gain,adult
A8,01-07-2020,1,4.0,4717.0,3.0,M,24.66575342,38,gain,adult
A8,01-07-2020,0,2.0,899.0,4.0,M,24.66575342,39,gain,adult
A8,01-07-2020,0,3.0,1436.0,4.0,M,24.66575342,40,gain,adult
A9,10-31-2020,1,4.0,5569.0,2.0,M,26.16164384,1,gain,adult
A9,10-31-2020,0,3.0,9540.0,1.0,M,26.16164384,2,gain,adult
A9,10-31-2020,1,5.0,1065.0,3.0,M,26.16164384,3,gain,adult
A9,10-31-2020,0,1.0,3401.0,5.0,M,26.16164384,4,gain,adult
A9,10-31-2020,0,2.0,2751.0,4.0,M,26.16164384,5,gain,adult
A9,10-31-2020,0,2.0,2044.0,4.0,M,26.16164384,6,gain,adult
A9,10-31-2020,0,1.0,2767.0,3.0,M,26.16164384,7,gain,adult
A9,10-31-2020,1,5.0,1163.0,3.0,M,26.16164384,8,gain,adult
A9,10-31-2020,1,4.0,1570.0,2.0,M,26.16164384,9,gain,adult
A9,10-31-2020,1,3.0,5667.0,1.0,M,26.16164384,10,gain,adult
A9,10-31-2020,1,5.0,491.0,3.0,M,26.16164384,11,gain,adult
A9,10-31-2020,1,4.0,763.0,3.0,M,26.16164384,12,gain,adult
A9,10-31-2020,0,2.0,2441.0,2.0,M,26.16164384,13,gain,adult
A9,10-31-2020,0,1.0,927.0,2.0,M,26.16164384,14,gain,adult
A9,10-31-2020,1,3.0,1128.0,3.0,M,26.16164384,15,gain,adult
A9,10-31-2020,1,4.0,504.0,3.0,M,26.16164384,16,gain,adult
A9,10-31-2020,0,1.0,1164.0,5.0,M,26.16164384,17,gain,adult
A9,10-31-2020,1,3.0,532.0,2.0,M,26.16164384,18,gain,adult
A9,10-31-2020,1,5.0,597.0,4.0,M,26.16164384,19,gain,adult
A9,10-31-2020,0,2.0,1218.0,2.0,M,26.16164384,20,gain,adult
A9,10-31-2020,1,3.0,1260.0,2.0,M,26.16164384,21,gain,adult
A9,10-31-2020,1,4.0,917.0,2.0,M,26.16164384,22,gain,adult
