ExperimentName	subjID	SessionDate	accept	offer	accept	Wait2.RT	targettext	trail
part1_UG_gain_f_red_1	12	01-05-2020	1	4.0	1	390.0	2.0	32
part1_UG_gain_f_red_1	12	01-05-2020	1	3.0	1	588.0	3.0	33
part1_UG_gain_f_red_1	12	01-05-2020	0	1.0	0	466.0	3.0	34
part1_UG_gain_f_red_1	12	01-05-2020	1	2.0	1	1947.0	1.0	35
part1_UG_gain_f_red_1	12	01-05-2020	1	3.0	1	380.0	2.0	36
part1_UG_gain_f_red_1	12	01-05-2020	0	2.0	0	386.0	3.0	37
part1_UG_gain_f_red_1	12	01-05-2020	0	1.0	0	587.0	3.0	38
part1_UG_gain_f_red_1	12	01-05-2020	1	4.0	1	477.0	2.0	39
part1_UG_gain_f_red_1	12	01-05-2020	1	5.0	1	2606.0	4.0	40
part1_UG_gain_f_red_1	18	01-06-2020	0	1.0	0	4666.0	2.0	1
part1_UG_gain_f_red_1	18	01-06-2020	1	5.0	1	1237.0	5.0	2
part1_UG_gain_f_red_1	18	01-06-2020	0	2.0	0	1399.0	2.0	3
part1_UG_gain_f_red_1	18	01-06-2020	1	4.0	1	1370.0	4.0	4
part1_UG_gain_f_red_1	18	01-06-2020	0	3.0	0	4714.0	2.0	5
part1_UG_gain_f_red_1	18	01-06-2020	1	4.0	1	2200.0	4.0	6
part1_UG_gain_f_red_1	18	01-06-2020	0	2.0	0	3043.0	2.0	7
part1_UG_gain_f_red_1	18	01-06-2020	0	3.0	0	988.0	2.0	8
part1_UG_gain_f_red_1	18	01-06-2020	0	1.0	0	1455.0	1.0	9
part1_UG_gain_f_red_1	18	01-06-2020	1	5.0	1	705.0	5.0	10
part1_UG_gain_f_red_1	18	01-06-2020	0	3.0	0	7152.0	2.0	11
part1_UG_gain_f_red_1	18	01-06-2020	0	1.0	0	1130.0	1.0	12
part1_UG_gain_f_red_1	18	01-06-2020	1	5.0	1	1112.0	5.0	13
